time,power_setpoint_kW
00:00:00,0.0
00:00:01,0.06
00:00:02,0.13
00:00:03,0.2
00:00:04,0.27
00:00:05,0.34
00:00:06,0.41
00:00:07,0.48
00:00:08,0.55
00:00:09,0.62
00:00:10,0.69
00:00:11,0.76
00:00:12,0.83
00:00:13,0.9
00:00:14,0.97
00:00:15,1.04
00:00:16,1.11
00:00:17,1.18
00:00:18,1.25
00:00:19,1.32
00:00:20,1.39
00:00:21,1.46
00:00:22,1.52
00:00:23,1.59
00:00:24,1.66
00:00:25,1.73
00:00:26,1.8
00:00:27,1.87
00:00:28,1.94
00:00:29,2.01
00:00:30,2.07
00:00:31,2.14
00:00:32,2.21
00:00:33,2.28
00:00:34,2.35
00:00:35,2.41
00:00:36,2.48
00:00:37,2.55
00:00:38,2.62
00:00:39,2.68
00:00:40,2.75
00:00:41,2.82
00:00:42,2.89
00:00:43,2.95
00:00:44,3.02
00:00:45,3.09
00:00:46,3.15
00:00:47,3.22
00:00:48,3.28
00:00:49,3.35
00:00:50,3.42
00:00:51,3.48
00:00:52,3.55
00:00:53,3.61
00:00:54,3.68
00:00:55,3.74
00:00:56,3.81
00:00:57,3.87
00:00:58,3.93
00:00:59,4.0
00:01:00,4.06
00:01:01,4.13
00:01:02,4.19
00:01:03,4.25
00:01:04,4.32
00:01:05,4.38
00:01:06,4.44
00:01:07,4.5
00:01:08,4.57
00:01:09,4.63
00:01:10,4.69
00:01:11,4.75
00:01:12,4.81
00:01:13,4.87
00:01:14,4.93
00:01:15,4.99
00:01:16,5.06
00:01:17,5.12
00:01:18,5.18
00:01:19,5.23
00:01:20,5.29
00:01:21,5.35
00:01:22,5.41
00:01:23,5.47
00:01:24,5.53
00:01:25,5.59
00:01:26,5.64
00:01:27,5.7
00:01:28,5.76
00:01:29,5.82
00:01:30,5.87
00:01:31,5.93
00:01:32,5.99
00:01:33,6.04
00:01:34,6.1
00:01:35,6.15
00:01:36,6.21
00:01:37,6.26
00:01:38,6.32
00:01:39,6.37
00:01:40,6.42
00:01:41,6.48
00:01:42,6.53
00:01:43,6.58
00:01:44,6.63
00:01:45,6.69
00:01:46,6.74
00:01:47,6.79
00:01:48,6.84
